token	lemma	POS	morph	treated
Romans	romanz	NOMpro	NOMB.=s|GENRE=m|CAS=r	Romans
-	-	PONfbl	MORPH=empty	-
de	de	PRE	MORPH=empty	de
-	-	PONfbl	MORPH=empty	-
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
-	-	PONfbl	MORPH=empty	-
Rose	Rose	NOMpro	NOMB.=s|GENRE=f|CAS=r	Rose
,	,	PONfbl	MORPH=empty	,
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n	qui
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
une	un	DETndf	NOMB.=s|GENRE=f|CAS=r	une
novele	novel	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	novele
chose	chose	NOMcom	NOMB.=s|GENRE=f|CAS=r	chose
et	et	CONcoo	MORPH=empty	et
s'	si	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	s
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
des	de+le	PRE.DETdef	NOMB.=p|GENRE=m|CAS=r	des
autres	autre	PROind	NOMB.=p|GENRE=m|CAS=r	autres
si	si	ADVgen	DEGRE=-	si
divers	divers	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p	divers
et	et	CONcoo	MORPH=empty	et
brodez	brocet	VERppe	NOMB.=s|GENRE=m|CAS=n	brodez
,	,	PONfbl	MORPH=empty	,
par	par	PRE	MORPH=empty	par
lieus	lieu	NOMcom	NOMB.=p|GENRE=m|CAS=r	lieus
,	,	PONfbl	MORPH=empty	,
de	de	PRE	MORPH=empty	de
biaus	bel1	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p	biaus
vers	vers2	ADJqua	MORPH=empty	vers
que	que4	CONsub	MORPH=empty	que
vilains	vilain	NOMcom	NOMB.=s|GENRE=m|CAS=n	vilains
nel	ne1+il	ADVneg.PROper	PERS.=3|NOMB.=s|GENRE=n|CAS=r	nel
porroit	pöoir	VERcjg	MODE=con|PERS.=3|NOMB.=s	porroit
savoir	savoir	VERinf	MORPH=empty	savoir
.	.	PONfrt	MORPH=empty	.
Ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	Ce
sachiez	savoir	VERcjg	MODE=imp|PERS.=2|NOMB.=p	sachiez
de	de	PRE	MORPH=empty	de
fi	fi2	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	fi
et	et	CONcoo	MORPH=empty	et
de	de	PRE	MORPH=empty	de
voir	voir	ADJqua	NOMB.=s|GENRE=m|DEGRE=p	voir
,	,	PONfbl	MORPH=empty	,
bien	bien1	ADVgen	DEGRE=p	bien
a	avoir	PRE	MORPH=empty	a
cist	cest	PROdem	NOMB.=s|GENRE=m|CAS=r	cist
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r	les
autres	autre	PROind	NOMB.=p|GENRE=m|CAS=r	autres
passez	passer1	VERppe	NOMB.=p|GENRE=m|CAS=r	passez
.	.	PONfrt	MORPH=empty	.
Ja	ja	ADVgen	DEGRE=-	Ja
nuls	nul	PROind	NOMB.=s|GENRE=m|CAS=n	nuls
n'	ne1	ADVneg	MORPH=empty	n
iert	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	iert
de	de	PRE	MORPH=empty	de
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=r	l
oïr	öir	VERinf	MORPH=empty	oïr
lassez	lasser	VERppe	NOMB.=s|GENRE=m|CAS=n	lassez
,	,	PONfbl	MORPH=empty	,
car	car	CONcoo	DEGRE=-	car
,	,	PONfbl	MORPH=empty	,
s'	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	s
en	en2	PROadv	MORPH=empty	en
vieult	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	vieult
,	,	PONfbl	MORPH=empty	,
l'	il	DETdef	NOMB.=s|GENRE=n|CAS=n	l
en	en2	PROind	NOMB.=s|GENRE=n|CAS=n	en
i	i2	PROadv	MORPH=empty	i
chante	chanter	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	chante
et	et	CONcoo	MORPH=empty	et
lit	lit1	VERcjg	NOMB.=s|GENRE=m|CAS=r	lit
,	,	PONfbl	MORPH=empty	,
et	et	CONcoo	MORPH=empty	et
s'	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	s
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
fez	faire	VERppe	NOMB.=s|GENRE=m|CAS=n	fez
par	par	PRE	MORPH=empty	par
si	si	ADVgen	DEGRE=-	si
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	grant
delit	delit2	NOMcom	NOMB.=s|GENRE=m|CAS=r	delit
que	que4	CONsub	MORPH=empty	que
tuit	tot	DETind	NOMB.=p|GENRE=m|CAS=n	tuit
cil	cel	PROdem	NOMB.=p|GENRE=m|CAS=n	cil
s'	soi1	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r	s
en	en2	PROadv	MORPH=empty	en
esjoïront	esjöir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p	esjoïront
qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n	qui
chanter	chanter	VERinf	MORPH=empty	chanter
et	et	CONcoo	MORPH=empty	et
lire	lire1	VERinf	MORPH=empty	lire
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
orront	öir	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=p	orront
,	,	PONfbl	MORPH=empty	,
qu'	que4	CONsub	MORPH=empty	qu
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
lor	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=i	lor
sera	estre1	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s	sera
nouviaus	novel	ADJqua	NOMB.=p|GENRE=m|CAS=n|DEGRE=p	nouviaus
toz	tot	DETind	NOMB.=p|GENRE=m|CAS=r	toz
jors	jor	NOMcom	NOMB.=p|GENRE=m|CAS=r	jors
.	.	PONfrt	MORPH=empty	.
Il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	Il
conte	conter	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s|GENRE=m	conte
d'	de	PRE	MORPH=empty	d
armes	arme	NOMcom	NOMB.=p|GENRE=f|CAS=r	armes
et	et	CONcoo	MORPH=empty	et
d'	de	PRE	MORPH=empty	d
amors	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r	amors
et	et	CONcoo	MORPH=empty	et
chante	chanter	NOMcom	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	chante
d'	de	PRE	MORPH=empty	d
ambedeus	ambedos	PROcar	NOMB.=p|GENRE=m|CAS=r	ambedeus
ensamble	ensemble	ADVgen	DEGRE=-	ensamble
,	,	PONfbl	MORPH=empty	,
s'	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	s
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
avis	avis	NOMcom	NOMB.=s|GENRE=m|CAS=r	avis
a	a3	PRE	NOMB.=s	a
chascun	chascun	PROind	NOMB.=s|GENRE=m|CAS=r	chascun
et	et	CONcoo	MORPH=empty	et
samble	sembler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	samble
que	que4	CONsub	MORPH=empty	que
cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n	cil
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
fet	faire	VERppe	PERS.=3|NOMB.=s|GENRE=m|CAS=r	fet
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
romans	romanz	NOMcom	NOMB.=s|GENRE=m|CAS=r	romans
qu'	que4	PROrel	CAS=r	qu
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
trovast	trover	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	trovast
toz	tot	DETind	NOMB.=p|GENRE=m|CAS=r	toz
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r	les
moz	mot	NOMcom	NOMB.=p|GENRE=m|CAS=r	moz
des	de+le	PRE.DETdef	NOMB.=p|GENRE=m|CAS=r	des
chans	champ	NOMcom	NOMB.=p|GENRE=m|CAS=r	chans
,	,	PONfbl	MORPH=empty	,
si	si	ADVgen	DEGRE=-	si
afierent	aferir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	afierent
a	a3	PRE	MORPH=empty	a
ceuls	cel	PROdem	NOMB.=p|GENRE=m|CAS=r	ceuls
del	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	del
conte	conte1	NOMcom	NOMB.=s|GENRE=m|CAS=r	conte
.	.	PONfrt	MORPH=empty	.
Si	si	ADVgen	DEGRE=-	Si
conmencë	comencier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	conmencë
ici	ici	ADVgen	DEGRE=-	ici
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
conte	conte2	NOMcom	NOMB.=s|GENRE=m|CAS=r	conte
.	.	PONfrt	MORPH=empty	.
En	en1	PRE	MORPH=empty	En
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=r	l
Empire	empire	NOMcom	NOMB.=s|GENRE=m|CAS=r	Empire
,	,	PONfbl	MORPH=empty	,
ou	où	PROrel	MORPH=empty	ou
li	le	DETdef	NOMB.=p|GENRE=m|CAS=n	li
Alemant	Allemand	NOMpro	NOMB.=p|GENRE=m|CAS=n	Alemant
ont	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	ont
esté	estre1	VERppe	NOMB.=s|GENRE=m|CAS=n	esté
maint	maint	DETind	NOMB.=s|GENRE=m|CAS=n	maint
jor	jor	NOMcom	NOMB.=s|GENRE=m|CAS=r	jor
et	et	CONcoo	MORPH=empty	et
maint	maint	DETind	TEMPS=pst|NOMB.=s|GENRE=m|CAS=n	maint
an	an	NOMcom	CAS=n	an
,	,	PONfbl	MORPH=empty	,
si	si	ADVgen	DEGRE=-	si
com	come1	CONsub	MORPH=empty	com
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
contes	conte2	NOMcom	NOMB.=s|GENRE=m|CAS=n	contes
dit	dire	VERppe	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s|GENRE=m	dit
,	,	PONfbl	MORPH=empty	,
segnor	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n	segnor
,	,	PONfbl	MORPH=empty	,
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
jadis	jadis	ADVgen	DEGRE=-	jadis
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r	un
empereor	emperëor	NOMcom	NOMB.=s|GENRE=m|CAS=r	empereor
.	.	PONfrt	MORPH=empty	.
Corras	Corrais	NOMpro	NOMB.=s|GENRE=m	Corras
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
non	nom	NOMcom	NOMB.=s|GENRE=m|CAS=r	non
de	de	PRE	MORPH=empty	de
par	par	PRE	MORPH=empty	par
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
pere	pere	NOMcom	NOMB.=s|GENRE=m|CAS=r	pere
,	,	PONfbl	MORPH=empty	,
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
devant	devant	PRE	MORPH=empty	devant
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	lui
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
emperere	emperëor	NOMcom	NOMB.=s|GENRE=m|CAS=n	emperere
.	.	PONfrt	MORPH=empty	.
Mout	mout	ADVgen	DEGRE=-	Mout
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	le
tindrent	tenir1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p	tindrent
les	le	DETdef	NOMB.=p|GENRE=f|CAS=n	les
genz	gent1	NOMcom	NOMB.=p|GENRE=f|CAS=n	genz
a	a3	PRE	MORPH=empty	a
preu	pro	NOMcom	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	preu
;	;	PONfbl	MORPH=empty	;
ne	ne1	ADVneg	MORPH=empty	ne
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=r	vos
avroie	avoir	VERcjg	MODE=con|PERS.=1|NOMB.=s	avroie
hui	ui	ADVgen	DEGRE=-	hui
conté	conter	VERppe	NOMB.=s|GENRE=m|CAS=r	conté
preu	pro	ADJqua	GENRE=m|DEGRE=p	preu
quels	quel1	DETrel	NOMB.=s|GENRE=m|CAS=n	quels
hom	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n	hom
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
,	,	PONfbl	MORPH=empty	,
car	car	CONcoo	MORPH=empty	car
ne	ne1	ADVneg	MORPH=empty	ne
porroie	pöoir	VERcjg	MODE=con|PERS.=1|NOMB.=s	porroie
.	.	PONfrt	MORPH=empty	.
Onqes	onque	ADVgen	MORPH=empty	Onqes
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	au
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	grant
siege	siege	NOMcom	NOMB.=s|GENRE=m|CAS=r	siege
de	de	PRE	MORPH=empty	de
Troie	Troie	NOMpro	NOMB.=s|GENRE=f|CAS=r	Troie
n'	ne1	ADVneg	MORPH=empty	n
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
home	ome	NOMcom	NOMB.=s|GENRE=m|CAS=r	home
si	si	ADVgen	DEGRE=-	si
bien	bien1	ADVgen	DEGRE=p	bien
entechié	entechier	VERppe	NOMB.=s|GENRE=m|CAS=r	entechié
;	;	PONfbl	MORPH=empty	;
si	si	ADVgen	DEGRE=-	si
haï	häir	VERcjg	MODE=ind|TEMPS=psp|NOMB.=s	haï
mout	mout	ADVgen	DEGRE=p	mout
vilain	vilain	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	vilain
pechié	pechié	NOMcom	NOMB.=s|GENRE=m|CAS=r	pechié
et	et	CONcoo	MORPH=empty	et
en	en1	PRE	MORPH=empty	en
esté	estre1	NOMcom	NOMB.=s|GENRE=m|CAS=r	esté
mengier	mangier	VERinf	MORPH=empty	mengier
a	avoir	PRE	MORPH=empty	a
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
.	.	PONfrt	MORPH=empty	.
Des	des2	PRE	MORPH=empty	Des
cele	cel	DETdem	NOMB.=s|GENRE=f|CAS=r	cele
hore	ore3	NOMcom	NOMB.=s|GENRE=f|CAS=r	hore
que	que4	PROrel	GENRE=f|CAS=r	que
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
nez	naistre	VERppe	NOMB.=s|GENRE=m|CAS=n	nez
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
,	,	PONfbl	MORPH=empty	,
n'	ne1	ADVneg	MORPH=empty	n
oï	öir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	oï
nuls	nul	PROind	NOMB.=s|GENRE=m|CAS=r	nuls
issir	issir	VERinf	MORPH=empty	issir
de	de	PRE	MORPH=empty	de
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r	sa
bouche	boche	NOMcom	NOMB.=s|GENRE=f|CAS=r	bouche
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	grant
serement	sairement	NOMcom	NOMB.=s|GENRE=m|CAS=r	serement
ne	ne1	ADVneg	MORPH=empty	ne
lait	laissier	VERcjg	TEMPS=pst|PERS.=3|NOMB.=s	lait
reproche	reproche	NOMcom	NOMB.=s|CAS=r	reproche
.	.	PONfrt	MORPH=empty	.
Mout	mout	ADVgen	DEGRE=-	Mout
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	se
contint	contenir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	contint
com	come1	CONsub	MORPH=empty	com
sages	sage	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	sages
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n	rois
:	:	PONfbl	MORPH=empty	:
tot	tot	ADVgen	DEGRE=-	tot
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fist
,	,	PONfbl	MORPH=empty	,
par	par	PRE	MORPH=empty	par
decrez	decré	VERppe	NOMB.=p|GENRE=m|CAS=r	decrez
et	et	CONcoo	MORPH=empty	et
par	par	PRE	MORPH=empty	par
lois	loi3	NOMcom	NOMB.=p|GENRE=f|CAS=r	lois
,	,	PONfbl	MORPH=empty	,
vers	vers2	PRE	MORPH=empty	vers
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r	sa
gent	gent1	NOMcom	NOMB.=s|GENRE=f|CAS=r	gent
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
que	que2	PROrel	NOMB.=s|GENRE=n|CAS=n	que
fere	faire	VERinf	MORPH=empty	fere
dut	devoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	dut
;	;	PONfbl	MORPH=empty	;
onques	onque	ADVgen	DEGRE=-	onques
home	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n	home
ne	ne1	ADVneg	MORPH=empty	ne
mesconnut	mesconoistre	VERcjg	MODE=ind|TEMPS=psp|NOMB.=s|CAS=r	mesconnut
por	por2	PRE	MORPH=empty	por
poverte	povérte	NOMcom	NOMB.=s|GENRE=f|CAS=r	poverte
ne	ne2	CONcoo	MORPH=empty	ne
por	por2	PRE	MORPH=empty	por
richece	richece	NOMcom	NOMB.=s|GENRE=f|CAS=r	richece
.	.	PONfrt	MORPH=empty	.
Bien	bien1	ADVgen	DEGRE=p	Bien
afferoit	aferir	VERcjg	MODE=con|PERS.=3|NOMB.=s	afferoit
a	a3	PRE	MORPH=empty	a
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r	sa
hautece	hautece	NOMcom	NOMB.=s|GENRE=f|CAS=r	hautece
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
qu'	que4	PROrel	NOMB.=s|GENRE=n|CAS=r	qu
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
ert	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	ert
sages	sage	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	sages
et	et	CONcoo	MORPH=empty	et
cortois	cortois	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	cortois
.	.	PONfrt	MORPH=empty	.
De	de	PRE	MORPH=empty	De
deduit	deduit	NOMcom	NOMB.=s|GENRE=m|CAS=r	deduit
d'	de	PRE	MORPH=empty	d
oiseax	oisel	NOMcom	NOMB.=s|GENRE=m|CAS=r	oiseax
et	et	CONcoo	MORPH=empty	et
de	de	PRE	MORPH=empty	de
bois	bois	NOMcom	NOMB.=s|GENRE=m|CAS=r	bois
ne	ne1	ADVneg	MORPH=empty	ne
savoit	savoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	savoit
nus	nul	DETind	NOMB.=s|GENRE=m|CAS=n	nus
hom	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n	hom
avant	avant	PRE	MORPH=empty	avant
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	lui
.	.	PONfrt	MORPH=empty	.
Il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	Il
valoit	valoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	valoit
de	de	PRE	MORPH=empty	de
tels	tel	DETind	NOMB.=p|GENRE=m|CAS=r	tels
rois	roi2	NOMcom	NOMB.=p|GENRE=m|CAS=r	rois
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r	un
mui	mui	NOMcom	NOMB.=s|GENRE=m|CAS=r	mui
com	come1	CONsub	MORPH=empty	com
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
puis	puis	ADVgen	MORPH=empty	puis
el	en1+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	el
regne	regne	NOMcom	NOMB.=s|GENRE=m|CAS=r	regne
eü	avoir	VERppe	NOMB.=s|GENRE=m|CAS=r	eü
.	.	PONfrt	MORPH=empty	.
Par	par	PRE	MORPH=empty	Par
effors	esforz2	NOMcom	GENRE=m|CAS=r	effors
de	de	PRE	MORPH=empty	de
lance	lance	NOMcom	NOMB.=s|GENRE=f|CAS=r	lance
et	et	CONcoo	MORPH=empty	et
d'	de	PRE	MORPH=empty	d
escu	escu	NOMcom	NOMB.=s|GENRE=m|CAS=r	escu
conqueroit	conquerre	VERcjg	MODE=ind|PERS.=3|NOMB.=s	conqueroit
toz	tot	DETind	NOMB.=p|GENRE=m|CAS=r	toz
ses	son4	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=r	ses
anemis	enemi	NOMcom	NOMB.=p|GENRE=m|CAS=r	anemis
;	;	PONfbl	MORPH=empty	;
ja	ja	ADVgen	DEGRE=-	ja
arbalestiers	arbalestier	NOMcom	NOMB.=s|GENRE=m|CAS=n	arbalestiers
n'	ne1	ADVneg	MORPH=empty	n
i	i2	PROadv	MORPH=empty	i
fust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	fust
mis	metre2	VERppe	NOMB.=s|GENRE=m|CAS=n	mis
,	,	PONfbl	MORPH=empty	,
por	por2	PRE	MORPH=empty	por
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r	sa
guerre	guerre	NOMcom	NOMB.=s|GENRE=f|CAS=r	guerre
,	,	PONfbl	MORPH=empty	,
en	en1	PRE	MORPH=empty	en
auctorité	autorité	NOMcom	NOMB.=s|GENRE=f|CAS=r	auctorité
;	;	PONfbl	MORPH=empty	;
par	par	PRE	MORPH=empty	par
averté	averté	NOMcom	NOMB.=s|GENRE=f|CAS=r	averté
,	,	PONfbl	MORPH=empty	,
par	par	PRE	MORPH=empty	par
mauvesté	mauvaistié	NOMcom	NOMB.=s|GENRE=f|CAS=r	mauvesté
,	,	PONfbl	MORPH=empty	,
