token	lemma	POS	morph	treated
laisse	laissier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	laisse
entrer	entrer	VERinf	MORPH=empty	entrer
.	.	PONfrt	MORPH=empty	.
Por	por2	PRE	MORPH=empty	Por
chou	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	chou
vous	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=r	vous
voel	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	voel
dire	dire	VERinf	MORPH=empty	dire
et	et	CONcoo	MORPH=empty	et
moustrer	mostrer	VERinf	MORPH=empty	moustrer
Que	que4	CONsub	MORPH=empty	Que
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
riens	rien	PROind	NOMB.=s|GENRE=f|CAS=r	riens
n’	ne1	ADVneg	MORPH=empty	n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
,	,	PONfbl	MORPH=empty	,
vils	vil1	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	vils
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
tenuz	tenir1	VERppe	NOMB.=s|GENRE=m|CAS=n	tenuz
Et	et	CONcoo	MORPH=empty	Et
o	o4	PRE	MORPH=empty	o
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r	les
riches	riche	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p	riches
mal	mal1	NOMcom	GENRE=m	mal
venus	venir	VERppe	NOMB.=s|GENRE=m|CAS=n	venus
!	!	PONfrt	MORPH=empty	!
;	;	PONfbl	MORPH=empty	;
Mais	mais1	CONcoo	MORPH=empty	Mais
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
sens	sens	PRE	NOMB.=s|GENRE=m	sens
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
,	,	PONfbl	MORPH=empty	,
c’	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n	c
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
avantages	avantage	NOMcom	NOMB.=s|GENRE=m|CAS=n	avantages
?	?	PONfrt	MORPH=empty	?
;	;	PONfbl	MORPH=empty	;
On	on	PROind	NOMB.=s|GENRE=n|CAS=n	On
dist	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	dist
asse	assez	ADVgen	NOMB.=s|CAS=n	asse
?	?	PONfrt	MORPH=empty	?
s	se	CONsub	MORPH=empty	s
tost	tost1	ADVgen	DEGRE=p	tost
:	:	PONfbl	MORPH=empty	:
a	avoir	PRE	PERS.=3	a
Cis	cest	PROdem	NOMB.=s|GENRE=m|CAS=n	Cis
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
sages	sage	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	sages
.	.	PONfrt	MORPH=empty	.
.	.	PONfrt	MORPH=empty	.
.	.	PONfrt	MORPH=empty	.
Mainz	maint	DETind	NOMB.=p|GENRE=m|CAS=r	Mainz
hom	ome	NOMcom	NOMB.=s|GENRE=m|CAS=n	hom
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
?	?	PONfrt	MORPH=empty	?
petit	petit	PROind	NOMB.=s|GENRE=m|CAS=r	petit
de	de	PRE	MORPH=empty	de
savoir	savoir	VERinf	MORPH=empty	savoir
A	a3	VERcjg	MORPH=empty	A
gaaignie	gäaignier1	VERppe	NOMB.=s|GENRE=f|CAS=r	gaaignie
?	?	PONfrt	MORPH=empty	?
maint	maint	DETind	NOMB.=s|GENRE=m|CAS=r	maint
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	grant
avoir	avoir	NOMcom	NOMB.=s|GENRE=m|CAS=r	avoir
?	?	PONfrt	MORPH=empty	?
.	.	PONfrt	MORPH=empty	.
Pour	por2	PRE	MORPH=empty	Pour
chou	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	chou
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
voel	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	voel
-	-	PONfbl	MORPH=empty	-
jou	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	jou
entremetre	entremetre	VERinf	MORPH=empty	entremetre
D’	de	PRE	MORPH=empty	D
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r	un
plaisant	plaisant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	plaisant
conte	conte2	NOMcom	NOMB.=s|GENRE=m	conte
en	en1	PRE	MORPH=empty	en
rime	rime	NOMcom	NOMB.=s|GENRE=f|CAS=r	rime
metre	metre2	VERinf	MORPH=empty	metre
.	.	PONfrt	MORPH=empty	.
Puisle	Pouille	NOMcom	NOMB.=s	Puisle
scienche	sceinte	ADJqua	NOMB.=s|GENRE=m|CAS=r	scienche
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	ai
,	,	PONfbl	MORPH=empty	,
et	et	CONcoo	MORPH=empty	et
tant	tant	ADVgen	NOMB.=s|GENRE=m|DEGRE=-	tant
vail	valoir	VERcjg	NOMB.=s|GENRE=m|CAS=r	vail
d	de	PRE	MORPH=empty	d
,	,	PONfbl	MORPH=empty	,
Ju	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	Ju
?	?	PONfrt	MORPH=empty	?
ne	ne1	ADVneg	MORPH=empty	ne
lairai	laissier	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s	lairai
pour	por2	PRE	MORPH=empty	pour
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	mon
travail	travail	NOMcom	NOMB.=s|GENRE=m|CAS=r	travail
Que	que4	CONsub	MORPH=empty	Que
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
ne	ne1	ADVneg	MORPH=empty	ne
die	dire	VERcjg	MODE=sub|TEMPS=pst|PERS.=1|NOMB.=s	die
auchun	aucun	DETind	NOMB.=s|GENRE=m|CAS=r	auchun
biel	biel1	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	biel
mot	mot	NOMcom	NOMB.=s|GENRE=m|CAS=r	mot
;	;	PONfbl	MORPH=empty	;
Et	et	CONcoo	MORPH=empty	Et
se	se	CONsub	MORPH=empty	se
auchuns	aucun	DETind	NOMB.=s|GENRE=m|CAS=n	auchuns
mesdisans	mesdire	NOMcom	NOMB.=s|GENRE=m|CAS=r	mesdisans
m’	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	m
ot	öir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
,	,	PONfbl	MORPH=empty	,
Et	et	CONcoo	MORPH=empty	Et
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
en	en2	PROadv	MORPH=empty	en
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
duel	duel	NOMcom	NOMB.=s|GENRE=m|CAS=r	duel
et	et	CONcoo	MORPH=empty	et
envie	envie	NOMcom	NOMB.=s|GENRE=f|CAS=r	envie
Se	se	CONsub	MORPH=empty	Se
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
de	de	PRE	MORPH=empty	de
?	?	PONfrt	MORPH=empty	?
duis	duit	VERcjg	NOMB.=s|CAS=r	duis
en	en1	PRE	MORPH=empty	en
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r	ma
vie	vie1	NOMcom	NOMB.=s|GENRE=f|CAS=r	vie
,	,	PONfbl	MORPH=empty	,
S’	se	CONsub	MORPH=empty	S
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
en	en2	PROadv	MORPH=empty	en
dist	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	dist
mal	mal1	NOMcom	NOMB.=s|GENRE=m	mal
,	,	PONfbl	MORPH=empty	,
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
mals	mal1	NOMcom	NOMB.=s|GENRE=m|CAS=n	mals
soit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	soit
siens	sien	ADJpos	PERS.=1|NOMB.=s|GENRE=m|CAS=n	siens
;	;	PONfbl	MORPH=empty	;
Et	et	CONcoo	MORPH=empty	Et
por	por2	PRE	MORPH=empty	por
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
que	que4	CONsub	MORPH=empty	que
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
sens	sens	NOMcom	NOMB.=s|GENRE=m|CAS=n	sens
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
miens	mien	ADJpos	PERS.=1|NOMB.=s|GENRE=m|CAS=n	miens
,	,	PONfbl	MORPH=empty	,
Ne	ne1	ADVneg	MORPH=empty	Ne
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	doit
nuire	nuire	VERinf	MORPH=empty	nuire
ne	ne2	CONcoo	MORPH=empty	ne
peser	peser	VERinf	MORPH=empty	peser
Se	se	CONsub	MORPH=empty	Se
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	me
de	de	PRE	MORPH=empty	de
?	?	PONfrt	MORPH=empty	?
duis	duit	NOMcom	NOMB.=p|CAS=r	duis
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	au
penser	penser	NOMcom	MORPH=empty	penser
;	;	PONfbl	MORPH=empty	;
Si	si	ADVgen	DEGRE=-	Si
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	fait
-	-	PONfbl	MORPH=empty	-
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
grie	grief	NOMcom	MODE=ind|PERS.=3|NOMB.=s|DEGRE=p	grie
?	?	PONfrt	MORPH=empty	?
ve	vëoir	VERcjg	PERS.=2|NOMB.=s|CAS=r	ve
as	a3+le	PRE.DETdef	TEMPS=pst|NOMB.=p|GENRE=m	as
envieus	envïos	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p	envieus
,	,	PONfbl	MORPH=empty	,
Male	mal1	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	Male
goute	gote	NOMcom	NOMB.=s|GENRE=f|CAS=r	goute
!	!	PONfrt	MORPH=empty	!
lor	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=i	lor
criet	crïer2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	criet
lor	lor2	DETpos	PERS.=3|NOMB.=p|GENRE=m|CAS=r	lor
ieus	ueil	NOMcom	NOMB.=p|GENRE=m|CAS=n	ieus
!	!	PONfrt	MORPH=empty	!
Quant	cant1	CONsub	MORPH=empty	Quant
celle	cel	PROdem	NOMB.=s|GENRE=f|CAS=r	celle
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r	sa
chanc	champ	NOMcom	NOMB.=s|GENRE=f|CAS=r	chanc
?	?	PONfrt	MORPH=empty	?
on	on	PROind	NOMB.=s|GENRE=n|CAS=n	on
fine	finer	VERcjg	TEMPS=pst|NOMB.=s|DEGRE=p	fine
?	?	PONfrt	MORPH=empty	?
e	et	CONcoo	MORPH=empty	e
,	,	PONfbl	MORPH=empty	,
Une	un	DETndf	NOMB.=s|GENRE=f|CAS=r	Une
puciele	pucele	NOMcom	NOMB.=s|GENRE=f|CAS=r	puciele
molt	mout	ADVgen	DEGRE=-	molt
sene	sené2	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	sene
?	?	PONfrt	MORPH=empty	?
e	et	CONcoo	MORPH=empty	e
,	,	PONfbl	MORPH=empty	,
Qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	Qui
suer	seror	NOMcom	NOMB.=s|GENRE=f|CAS=n	suer
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
le	le	DETdef	NOMB.=s|GENRE=m|CAS=n	le
conte	conte1	NOMcom	NOMB.=s|GENRE=m|CAS=r	conte
de	de	PRE	MORPH=empty	de
Blois	Blois	ADJqua	NOMB.=s|CAS=r	Blois
,	,	PONfbl	MORPH=empty	,
Vairs	vair1	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p	Vairs
i	i2	PROadv	MORPH=empty	i
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r	les
yex	ueil	NOMcom	NOMB.=p|GENRE=m|CAS=r	yex
et	et	CONcoo	MORPH=empty	et
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r	les
crins	crin	NOMcom	NOMB.=p|GENRE=m|CAS=r	crins
blois	bloi	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p	blois
,	,	PONfbl	MORPH=empty	,
De	de	PRE	MORPH=empty	De
?	?	PONfrt	MORPH=empty	?
duisans	duire	NOMcom	NOMB.=s|GENRE=m|CAS=n	duisans
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
et	et	CONcoo	MORPH=empty	et
envoisie	envoisier	VERppe	NOMB.=s|GENRE=f|CAS=n	envoisie
,	,	PONfbl	MORPH=empty	,
Ceste	cest	DETdem	NOMB.=s|GENRE=f|CAS=r	Ceste
chanson	chançon	NOMcom	NOMB.=s|GENRE=f|CAS=r	chanson
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
comencie	comencier	VERppe	NOMB.=s|GENRE=f|CAS=r	comencie
;	;	PONfbl	MORPH=empty	;
Que	que4	PROrel	MORPH=empty	Que
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
cuer	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=r	cuer
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
joli	jolif	NOMcom	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	joli
et	et	CONcoo	MORPH=empty	et
gai	gai	NOMcom	PERS.=1|NOMB.=s|GENRE=m	gai
:	:	PONfbl	MORPH=empty	:
Ja	ja	ADVgen	DEGRE=-	Ja
?	?	PONfrt	MORPH=empty	?
ne	ne1	ADVneg	MORPH=empty	ne
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
marierai	marïer	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s	marierai
,	,	PONfbl	MORPH=empty	,
Me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	Me
?	?	PONfrt	MORPH=empty	?
s	se	CONsub	MORPH=empty	s
par	par	PRE	MORPH=empty	par
amors	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r	amors
nmerai	mener	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s	nmerai
?	?	PONfrt	MORPH=empty	?
,	,	PONfbl	MORPH=empty	,
La	le	DETdef	NOMB.=s|GENRE=f|CAS=n	La
suer	seror	NOMcom	NOMB.=s|GENRE=f|CAS=r	suer
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	au
conte	conte1	NOMcom	NOMB.=s|GENRE=m|CAS=r	conte
de	de	PRE	MORPH=empty	de
Saint	saint	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	Saint
-	-	PONfbl	MORPH=empty	-
Pol	Paul	NOMpro	NOMB.=s|GENRE=m|CAS=r	Pol
,	,	PONfbl	MORPH=empty	,
Qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	Qui
tant	tant	ADVgen	DEGRE=-	tant
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
biel	bel1	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	biel
vis	vis1	NOMcom	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	vis
et	et	CONcoo	MORPH=empty	et
biel	bieu1	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	biel
col	col	NOMcom	NOMB.=s|GENRE=m|CAS=r	col
,	,	PONfbl	MORPH=empty	,
Envoisie	envoisier	VERppe	NOMB.=s|GENRE=m|CAS=r	Envoisie
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
et	et	CONcoo	MORPH=empty	et
mignote	minestrer	NOMcom	NOMB.=s|GENRE=m|CAS=r	mignote
,	,	PONfbl	MORPH=empty	,
Commenche	comencier	NOMcom	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	Commenche
haut	haut	ADVgen	DEGRE=p	haut
,	,	PONfbl	MORPH=empty	,
a	a3	PRE	PERS.=3	a
?	?	PONfrt	MORPH=empty	?
clere	cler	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	clere
note	noter2	NOMcom	PERS.=1|NOMB.=s|GENRE=f	note
,	,	PONfbl	MORPH=empty	,
Ceste	cest	DETdem	NOMB.=s|GENRE=f|CAS=r	Ceste
chanchon	chançon	NOMcom	NOMB.=s|GENRE=f|CAS=r	chanchon
en	en1	PRE	MORPH=empty	en
Earolant	Araolant	NOMpro	NOMB.=s|CAS=r	Earolant
:	:	PONfbl	MORPH=empty	:
Se	se	CONsub	MORPH=empty	Se
j’	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	j
ainc	ainc	ADVgen	PERS.=1|DEGRE=-	ainc
par	par	PRE	MORPH=empty	par
amors	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r	amors
,	,	PONfbl	MORPH=empty	,
joie	joie	NOMcom	NOMB.=s|GENRE=f|CAS=r	joie
en	en2	PROadv	MORPH=empty	en
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	ai
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	grant
.	.	PONfrt	MORPH=empty	.
Mal	mal1	ADJqua	NOMB.=s|GENRE=m|CAS=r	Mal
gre	gré2	ADJqua	NOMB.=s|GENRE=m|CAS=r	gre
?	?	PONfrt	MORPH=empty	?
en	en2	PROadv	MORPH=empty	en
uient	venir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	uient
mesdisant	mesdire	VERppa	NOMB.=s|GENRE=m	mesdisant
.	.	PONfrt	MORPH=empty	.
La	le	DETdef	NOMB.=s|GENRE=f|CAS=n	La
damoisiele	damoisele	NOMcom	NOMB.=s|GENRE=f|CAS=n	damoisiele
de	de	PRE	MORPH=empty	de
Couchi	Couquis	NOMpro	NOMB.=s|CAS=r	Couchi
,	,	PONfbl	MORPH=empty	,
Que	que2	PROrel	NOMB.=s|CAS=r	Que
Dex	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n	Dex
fache	faire	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	fache
vraie	verai	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	vraie
merchia	mercïer	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	merchia
,	,	PONfbl	MORPH=empty	,
Qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	Qui
molt	mout	ADVgen	DEGRE=-	molt
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
avenans	avenant	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	avenans
et	et	CONcoo	MORPH=empty	et
biele	bien1	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p	biele
,	,	PONfbl	MORPH=empty	,
A	avoir	VERcjg	TEMPS=pst|PERS.=3|NOMB.=s	A
dit	dire	VERppe	NOMB.=s|GENRE=m|CAS=r	dit
ceste	cest	DETdem	NOMB.=s|GENRE=f|CAS=r	ceste
canchon	chançon	NOMcom	NOMB.=s|GENRE=f|CAS=r	canchon
nouviele	novel	ADJqua	NOMB.=s|GENRE=f|CAS=r	nouviele
;	;	PONfbl	MORPH=empty	;
Car	car	CONcoo	MORPH=empty	Car
ele	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	ele
amoit	amer1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	amoit
bien	bien1	ADVgen	DEGRE=p	bien
par	par	PRE	MORPH=empty	par
amor	amor	NOMcom	NOMB.=s|GENRE=f|CAS=r	amor
:	:	PONfbl	MORPH=empty	:
Seulete	solet1	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	Seulete
vois	aler	VERcjg	PERS.=1|NOMB.=s|GENRE=f	vois
a	a3	PRE	MORPH=empty	a
?	?	PONfrt	MORPH=empty	?
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	mon
ami	ami	NOMcom	NOMB.=s|GENRE=m|CAS=r	ami
;	;	PONfbl	MORPH=empty	;
S’	si	ADVgen	MORPH=empty	S
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	ai
grant	grant	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	grant
paor	pëor	NOMcom	NOMB.=s|GENRE=f|CAS=r	paor
.	.	PONfrt	MORPH=empty	.
La	le	DETdef	NOMB.=s|GENRE=f|CAS=r	La
chastelaine	chastelenie	NOMcom	NOMB.=s|GENRE=f|CAS=r	chastelaine
de	de	PRE	MORPH=empty	de
Niort	Niron	NOMpro	NOMB.=s|GENRE=f|CAS=r	Niort
,	,	PONfbl	MORPH=empty	,
C’	que2	PROrel	NOMB.=s|GENRE=f|CAS=r	C
on	on	PROind	NOMB.=s|GENRE=n|CAS=n	on
apeloit	apeler	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	apeloit
Elienort	Eliodre	NOMpro	NOMB.=s|GENRE=m|CAS=r	Elienort
,	,	PONfbl	MORPH=empty	,
Molt	mout	ADVgen	DEGRE=-	Molt
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	estoit
cointe	cointe	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p	cointe
,	,	PONfbl	MORPH=empty	,
