token	lemma	POS	morph	treated
roys	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r	roys
et	et	CONcoo	MORPH=empty	et
de	de	PRE	MORPH=empty	de
contes	conte1	NOMcom	NOMB.=p|GENRE=m|CAS=r	contes
extroicte	estroper	VERppe	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	extroicte
;	;	PONfbl	MORPH=empty	;
Si	si	ADVgen	DEGRE=-	Si
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r	l
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
nature	nature	NOMcom	NOMB.=s|GENRE=f|CAS=r	nature
a	a3	PRE	MORPH=empty	a
droit	droit	NOMcom	NOMB.=s|GENRE=m|CAS=r	droit
pourtroicte	portraire	VERppe	NOMB.=s|CAS=r	pourtroicte
,	,	PONfbl	MORPH=empty	,
Car	car	CONcoo	MORPH=empty	Car
elle	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	elle
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	estoit
,	,	PONfbl	MORPH=empty	,
en	en1	PRE	MORPH=empty	en
tous	tot	DETind	NOMB.=p|GENRE=m|CAS=r	tous
avis	avis	NOMcom	NOMB.=s|GENRE=m|CAS=r	avis
,	,	PONfbl	MORPH=empty	,
Bien	bien1	ADVgen	DEGRE=p	Bien
faicte	faire	VERppe	NOMB.=s|GENRE=f|CAS=r	faicte
de	de	PRE	MORPH=empty	de
corps	cors1	NOMcom	NOMB.=p|GENRE=m|CAS=r	corps
et	et	CONcoo	MORPH=empty	et
de	de	PRE	MORPH=empty	de
vis	vis1	NOMcom	NOMB.=s|GENRE=m|CAS=r	vis
,	,	PONfbl	MORPH=empty	,
Blonde	blont	ADJqua	NOMB.=s|GENRE=f|CAS=r	Blonde
com	come1	CONsub	MORPH=empty	com
or	or1	ADVgen	DEGRE=-	or
.	.	PONfrt	MORPH=empty	.
Et	et	CONcoo	MORPH=empty	Et
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
char	char2	NOMcom	NOMB.=s|GENRE=f|CAS=r	char
blanche	blanc	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	blanche
Avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	Avoit
com	come1	CONsub	MORPH=empty	com
nef	nef2	NOMcom	NOMB.=s|GENRE=f|CAS=n	nef
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
chiet	chëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	chiet
sur	sor2	PRE	MORPH=empty	sur
branche	branche	NOMcom	NOMB.=s|GENRE=f|CAS=r	branche
;	;	PONfbl	MORPH=empty	;
En	en1	PRE	MORPH=empty	En
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
face	face	NOMcom	NOMB.=s|GENRE=f|CAS=r	face
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
coulleur	color	NOMcom	NOMB.=s|GENRE=f|CAS=r	coulleur
vermeille	vermeil1	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	vermeille
:	:	PONfbl	MORPH=empty	:
Mais	mais1	CONcoo	MORPH=empty	Mais
rose	rose	NOMcom	NOMB.=s|GENRE=f|CAS=r	rose
ne	ne1	ADVneg	MORPH=empty	ne
s'	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	s
i	i2	PROadv	MORPH=empty	i
apparaille	apareillier1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	apparaille
,	,	PONfbl	MORPH=empty	,
Tant	tant	ADVgen	DEGRE=-	Tant
soit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	soit
a	a3	PRE	MORPH=empty	a
toute	tot	DETind	NOMB.=s|GENRE=f|CAS=r	toute
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
rousee	rosee2	NOMcom	NOMB.=s|GENRE=f|CAS=r	rousee
.	.	PONfrt	MORPH=empty	.
S'	se	CONsub	MORPH=empty	S
el	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	el
ne	ne1	ADVneg	MORPH=empty	ne
fust	estre1	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s	fust
d'	de	PRE	MORPH=empty	d
envie	envie	NOMcom	NOMB.=s|GENRE=f|CAS=r	envie
embrasee	embraser	VERppe	NOMB.=s|GENRE=f|CAS=n	embrasee
Aucune	aucun	DETind	NOMB.=s|GENRE=f|CAS=r	Aucune
foiz	foiz	NOMcom	NOMB.=s|GENRE=f|CAS=r	foiz
par	par	PRE	MORPH=empty	par
desraison	desraison	NOMcom	NOMB.=s|GENRE=f|CAS=r	desraison
,	,	PONfbl	MORPH=empty	,
De	de	PRE	MORPH=empty	De
Gadres	garder	NOMpro	NOMB.=s|GENRE=m	Gadres
jequ'	jesque	PRE	NOMB.=s|CAS=r	jequ
en	en1	PRE	MORPH=empty	en
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r	sa
maison	maison	NOMcom	NOMB.=s|GENRE=f|CAS=r	maison
,	,	PONfbl	MORPH=empty	,
Ou	o3	CONcoo	MORPH=empty	Ou
mainte	maint	DETind	NOMB.=p|GENRE=f|CAS=r	mainte
vaillant	vaillant	NOMcom	NOMB.=s|GENRE=f|CAS=n	vaillant
en	en2	PROadv	MORPH=empty	en
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
nee	naistre	VERppe	NOMB.=s|GENRE=f|CAS=n	nee
,	,	PONfbl	MORPH=empty	,
Ne	ne1	ADVneg	MORPH=empty	Ne
manoit	manoir1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	manoit
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n	dame
si	si	ADVgen	DEGRE=-	si
senee	sené2	ADJqua	NOMB.=s|GENRE=f|CAS=r	senee
Ne	ne2	CONcoo	MORPH=empty	Ne
si	si	ADVgen	DEGRE=-	si
bien	bien1	ADVgen	DEGRE=p	bien
parlant	parler	VERppa	NOMB.=s|DEGRE=p	parlant
,	,	PONfbl	MORPH=empty	,
a	a3	PRE	MORPH=empty	a
m'	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r	m
entente	entente	NOMcom	NOMB.=s|GENRE=f|CAS=r	entente
.	.	PONfrt	MORPH=empty	.
Elle	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	Elle
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	avoit
non	nom	NOMcom	NOMB.=s|GENRE=m|CAS=r	non
madame	madame	NOMcom	NOMB.=s|GENRE=f|CAS=r	madame
Gente	gent2	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	Gente
,	,	PONfbl	MORPH=empty	,
Si	si	ADVgen	DEGRE=-	Si
ressembloit	resembler	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	ressembloit
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
nom	nom	NOMcom	NOMB.=s|GENRE=m|CAS=r	nom
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
corps	cors1	NOMcom	NOMB.=s|GENRE=m|CAS=r	corps
,	,	PONfbl	MORPH=empty	,
De	de	PRE	MORPH=empty	De
tant	tant	ADVgen	DEGRE=-	tant
com	come1	CONsub	MORPH=empty	com
en	on	PROind	NOMB.=s|GENRE=n|CAS=n	en
en	en2	PROadv	MORPH=empty	en
voit	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	voit
dehors	defors	ADVgen	DEGRE=-	dehors
;	;	PONfbl	MORPH=empty	;
Mais	mais1	CONcoo	MORPH=empty	Mais
ne	ne1	ADVneg	MORPH=empty	ne
pouoit	pöoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	pouoit
entrer	entrer	VERinf	MORPH=empty	entrer
dedens	dedenz	ADVgen	DEGRE=-	dedens
:	:	PONfbl	MORPH=empty	:
N'	ne1	ADVneg	MORPH=empty	N
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	avoit
fors	fors1	ADVgen	DEGRE=-	fors
ou	o3	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	ou
vis	vis1	NOMcom	NOMB.=s|GENRE=m|CAS=r	vis
et	et	CONcoo	MORPH=empty	et
es	en1+le	PRE.DETdef	NOMB.=p|GENRE=f|CAS=r	es
dens	dent2	NOMcom	NOMB.=p|GENRE=f|CAS=r	dens
Et	et	CONcoo	MORPH=empty	Et
ou	o3	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	ou
parant	parent	NOMcom	NOMB.=s|GENRE=m|CAS=r	parant
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
nons	nom	NOMcom	NOMB.=s|GENRE=m|CAS=n	nons
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r	sa
force	force2	NOMcom	NOMB.=s|GENRE=f|CAS=r	force
.	.	PONfrt	MORPH=empty	.
Gente	gent2	ADJqua	NOMB.=s|GENRE=f|CAS=n	Gente
se	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	se
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fist
nommer	nomer	VERinf	CAS=n	nommer
l'	le	DETdef	NOMB.=s|GENRE=f|CAS=r	l
escorce	escorce	NOMcom	NOMB.=s|GENRE=f|CAS=r	escorce
,	,	PONfbl	MORPH=empty	,
Et	et	CONcoo	MORPH=empty	Et
gente	gent2	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p	gente
et	et	CONcoo	MORPH=empty	et
belle	bel1	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p	belle
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
a	a3	PRE	MORPH=empty	a
devise	devise	NOMcom	NOMB.=s|GENRE=f|CAS=r	devise
;	;	PONfbl	MORPH=empty	;
Mais	mais1	CONcoo	MORPH=empty	Mais
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
cuer	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=r	cuer
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
sans	sans	PRE	MORPH=empty	sans
gentillise	gentil	ADJqua	NOMB.=s|GENRE=f|CAS=r	gentillise
.	.	PONfrt	MORPH=empty	.
De	de	PRE	MORPH=empty	De
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
non	nom	NOMcom	NOMB.=s|GENRE=m|CAS=r	non
ne	ne1	ADVneg	MORPH=empty	ne
doy	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	doy
plus	plus	ADVgen	DEGRE=-	plus
parler	parler	VERinf	MORPH=empty	parler
,	,	PONfbl	MORPH=empty	,
Car	car	CONcoo	MORPH=empty	Car
el	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	el
faisoit	faire	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	faisoit
trop	trop	ADVgen	DEGRE=-	trop
tost	tost1	ADVgen	DEGRE=p	tost
aller	aler	VERinf	MORPH=empty	aller
Le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	Le
cheval	cheval	NOMcom	NOMB.=s|GENRE=m|CAS=r	cheval
de	de	PRE	MORPH=empty	de
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r	sa
langue	langue1	NOMcom	NOMB.=s|GENRE=f|CAS=r	langue
e	et	CONcoo	MORPH=empty	e
courre	corir	VERinf	GENRE=f	courre
,	,	PONfbl	MORPH=empty	,
Que	que4	CONsub	MORPH=empty	Que
nulz	nul	PROind	NOMB.=s|GENRE=m|CAS=n	nulz
ne	ne1	ADVneg	MORPH=empty	ne
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	lui
povoit	pöoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	povoit
rescourre	rescorre	VERinf	MORPH=empty	rescourre
Quant	cant1	CONsub	MORPH=empty	Quant
elle	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=n	elle
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	estoit
en	en1	PRE	MORPH=empty	en
haulte	haut	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	haulte
alaine	aleine	NOMcom	NOMB.=s|GENRE=f|CAS=n	alaine
:	:	PONfbl	MORPH=empty	:
S'	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	S
en	en2	PROadv	MORPH=empty	en
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
tenue	tenir1	VERppe	NOMB.=s|GENRE=f|CAS=n	tenue
pour	por2	PRE	MORPH=empty	pour
villaine	vilain	ADJqua	NOMB.=s|GENRE=f|CAS=r	villaine
.	.	PONfrt	MORPH=empty	.
Jenne	juene	ADJqua	NOMB.=s|GENRE=f|CAS=n	Jenne
fut	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fut
,	,	PONfbl	MORPH=empty	,
si	si	ADVgen	MORPH=empty	si
n'	ne1	ADVneg	MORPH=empty	n
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
filz	fil2	NOMcom	NOMB.=s|GENRE=m|CAS=n	filz
ne	ne2	CONcoo	MORPH=empty	ne
fille	fille	NOMcom	NOMB.=s|GENRE=f|CAS=n	fille
.	.	PONfrt	MORPH=empty	.
Trop	trop	ADVgen	DEGRE=-	Trop
parler	parler	VERinf	MORPH=empty	parler
destruit	destruire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s|GENRE=m	destruit
et	et	CONcoo	MORPH=empty	et
aville	avillier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	aville
Ceulx	cel	PROdem	NOMB.=p|GENRE=m|CAS=r	Ceulx
qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n	qui
veulent	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	veulent
a	a3	PRE	MORPH=empty	a
hounour	onor	NOMcom	NOMB.=s|GENRE=f|CAS=r	hounour
vivre	vivre1	VERinf	MORPH=empty	vivre
;	;	PONfbl	MORPH=empty	;
Par	par	PRE	MORPH=empty	Par
trop	trop	ADVgen	DEGRE=-	trop
parler	parler	VERinf	MORPH=empty	parler
semble	sembler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	semble
l'	le	PROper	NOMB.=s|GENRE=m|CAS=n	l
en	on	PROind	CAS=n	en
yvre	ivre	VERcjg	MODE=ind|NOMB.=s	yvre
Et	et	CONcoo	MORPH=empty	Et
acquiert	aquerre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	acquiert
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=r	l
en	on	PROind	MORPH=empty	en
souvent	sovent	ADVgen	DEGRE=-	souvent
haÿne	häine	NOMcom	TEMPS=pst|NOMB.=s|GENRE=f|CAS=r|DEGRE=p	haÿne
;	;	PONfbl	MORPH=empty	;
Maint	maint	DETind	NOMB.=s|GENRE=m|CAS=r	Maint
ennuy	enui	NOMcom	NOMB.=s|GENRE=m|CAS=r	ennuy
et	et	CONcoo	MORPH=empty	et
mainte	maint	DETind	NOMB.=s|GENRE=f|CAS=r	mainte
ruÿne	rüene	NOMcom	NOMB.=s|GENRE=f|CAS=r	ruÿne
Vient	venir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	Vient
au	a3+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	au
mesdisant	mesdire	NOMcom	NOMB.=s|GENRE=m|CAS=r	mesdisant
ains	ainz	ADVgen	DEGRE=-	ains
qu'	que4	CONsub	MORPH=empty	qu
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
muyre	morir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3	muyre
.	.	PONfrt	MORPH=empty	.
Sagement	sagement	ADVgen	DEGRE=p	Sagement
met	metre2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	met
Damedieu	Damnedeu	NOMpro	NOMB.=s|GENRE=m|CAS=r	Damedieu
cuyre	cuire	VERinf	TEMPS=pst	cuyre
Les	le	DETdef	NOMB.=p|GENRE=m|CAS=r	Les
oultrages	outrage	NOMcom	NOMB.=p|GENRE=m|CAS=r	oultrages
qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n	qui
davant	devant	ADVgen	DEGRE=-	davant
viennent	venir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	viennent
Aux	a3+le	PRE.DETdef	NOMB.=p|GENRE=m|CAS=r	Aux
oultrageulx	outrajos	ADJqua	NOMB.=p|GENRE=m|CAS=r|DEGRE=p	oultrageulx
qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n	qui
ne	ne1	ADVneg	MORPH=empty	ne
se	soi1	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r	se
tiennent	tenir1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	tiennent
D'	de	PRE	MORPH=empty	D
ouvrir	ovrir	VERinf	MORPH=empty	ouvrir
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
bouche	boche	NOMcom	NOMB.=s|GENRE=f|CAS=r	bouche
en	en1	PRE	MORPH=empty	en
villennie	vilenie	NOMcom	NOMB.=s|GENRE=f|CAS=r	villennie
.	.	PONfrt	MORPH=empty	.
La	le	DETdef	NOMB.=s|GENRE=f|CAS=n	La
dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n	dame
en	en2	PROadv	MORPH=empty	en
deut	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	deut
estre	estre1	VERinf	MORPH=empty	estre
honnie	honir	VERppe	NOMB.=s|GENRE=f|CAS=n	honnie
,	,	PONfbl	MORPH=empty	,
Si	si	ADVgen	DEGRE=-	Si
comme	come1	CONsub	MORPH=empty	comme
aprés	après	ADVgen	DEGRE=-	aprés
dire	dire	VERinf	MORPH=empty	dire
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	m
orrez	öir	VERcjg	MODE=ind|TEMPS=fut|PERS.=2|NOMB.=p	orrez
.	.	PONfrt	MORPH=empty	.
Son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	Son
mary	mari	NOMcom	NOMB.=s|GENRE=m|CAS=r	mary
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
non	nom	NOMcom	NOMB.=s|GENRE=m|CAS=r	non
Brundorez	Brandëor	NOMpro	NOMB.=s|GENRE=m|CAS=r	Brundorez
,	,	PONfbl	MORPH=empty	,
Ainsi	ainsi	ADVgen	DEGRE=-	Ainsi
com	come1	CONsub	MORPH=empty	com
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
escripz	escrit	NOMcom	NOMB.=s|GENRE=m|CAS=n	escripz
le	il	PROper	NOMB.=s|GENRE=m|CAS=r	le
nomme	nomer	VERcjg	MODE=ind|TEMPS=psp|NOMB.=s|CAS=r	nomme
;	;	PONfbl	MORPH=empty	;
De	de	PRE	MORPH=empty	De
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r	sa
meignee	maisniee	NOMcom	NOMB.=s|GENRE=f|CAS=r	meignee
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
ung	un	DETcar	NOMB.=s|GENRE=m|CAS=r	ung
prodomme	prodome	NOMcom	NOMB.=s|GENRE=m|CAS=r	prodomme
Et	et	CONcoo	MORPH=empty	Et
de	de	PRE	MORPH=empty	de
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
conseil	conseil	NOMcom	NOMB.=s|GENRE=m|CAS=r	conseil
moult	mout	ADVgen	DEGRE=-	moult
long	lonc	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	long
temps	tens	NOMcom	NOMB.=s|GENRE=m|CAS=r	temps
,	,	PONfbl	MORPH=empty	,
Qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	Qui
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	estoit
appellé	apeler	VERppe	NOMB.=s|GENRE=m|CAS=n	appellé
Matens	mater	NOMpro	NOMB.=s|GENRE=m|CAS=n	Matens
,	,	PONfbl	MORPH=empty	,
Ausques	auques	ADVgen	DEGRE=-	Ausques
preuz	pro	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	preuz
d'	de	PRE	MORPH=empty	d
armes	arme	NOMcom	NOMB.=p|GENRE=f|CAS=r	armes
et	et	CONcoo	MORPH=empty	et
hardiz	hardi	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	hardiz
;	;	PONfbl	MORPH=empty	;
N'	ne1	ADVneg	MORPH=empty	N
estoit	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	estoit
villains	vilain	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	villains
n'	ne2	CONcoo	MORPH=empty	n
en	en2	PRE	MORPH=empty	en
faiz	faire	NOMcom	TEMPS=pst|NOMB.=s	faiz
n'	ne1	ADVneg	MORPH=empty	n
en	en2	PROadv	MORPH=empty	en
diz	dit	NOMcom	NOMB.=p|CAS=r	diz
,	,	PONfbl	MORPH=empty	,
Ne	ne2	CONcoo	MORPH=empty	Ne
vantierres	ventëor	NOMcom	NOMB.=s|GENRE=m|CAS=r	vantierres
ne	ne2	CONcoo	MORPH=empty	ne
mesdisans	mesdire	NOMcom	NOMB.=s|GENRE=m|CAS=n	mesdisans
N'	ne1	ADVneg	MORPH=empty	N
a	avoir	VERcjg	PERS.=3	a
povre	povre	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	povre
homme	ome	NOMcom	NOMB.=s|GENRE=m|CAS=r	homme
fel	felon	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	fel
ne	ne2	CONcoo	MORPH=empty	ne
nuysans	nuire	NOMcom	NOMB.=s|GENRE=m|CAS=n	nuysans
:	:	PONfbl	MORPH=empty	:
S'	si	PROper	NOMB.=s|GENRE=m|CAS=r	S
