token	lemma	POS	morph	treated
Meleaganz	Meleagant	NOMpro	NOMB.=s|GENRE=m|CAS=r	Meleaganz
,	,	PONfbl	MORPH=empty	,
aprés	après	ADVgen	DEGRE=-	aprés
s'	soi1	PROper	PERS.=3|GENRE=m|CAS=r	s
aquialt	acoillir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	aquialt
Droit	droit	ADVgen	DEGRE=-	Droit
a	a3	PRE	MORPH=empty	a
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
cort	cort1	NOMcom	NOMB.=s|GENRE=f|CAS=r	cort
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
roi	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r	roi
Artu	Artu	NOMpro	NOMB.=s|GENRE=m|CAS=r	Artu
.	.	PONfrt	MORPH=empty	.
Estes	estre1	VERcjg	MODE=ind|PERS.=2|NOMB.=p|DEGRE=-	Estes
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	le
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i	vos
ja	ja	ADVgen	DEGRE=-	ja
la	là	ADVgen	NOMB.=s|GENRE=f|CAS=n	la
venu	venir	VERppe	NOMB.=s|GENRE=m|CAS=n	venu
,	,	PONfbl	MORPH=empty	,
Et	et	CONcoo	MORPH=empty	Et
quant	cant1	CONsub	MORPH=empty	quant
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
vint	venir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	vint
devant	devant	PRE	MORPH=empty	devant
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
roi	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r	roi
,	,	PONfbl	MORPH=empty	,
Mout	mout	ADVgen	DEGRE=-	Mout
plains	plein	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	plains
d'	de	PRE	MORPH=empty	d
orguel	orgueil	NOMcom	NOMB.=s|GENRE=m|CAS=r	orguel
et	et	CONcoo	MORPH=empty	et
de	de	PRE	MORPH=empty	de
desroi	desroi	NOMcom	NOMB.=s|GENRE=m|CAS=r	desroi
A	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	A
comanciee	comencier	VERppe	NOMB.=s|GENRE=f|CAS=r	comanciee
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r	sa
reison	raison	NOMcom	NOMB.=s|GENRE=f|CAS=r	reison
:	:	PONfbl	MORPH=empty	:
«	«	PONfbl	MORPH=empty	«
Rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n	Rois
,	,	PONfbl	MORPH=empty	,
devant	devant	PRE	MORPH=empty	devant
toi	tu	PROper	PERS.=2|NOMB.=s|GENRE=m|CAS=r	toi
an	en1	PRE	MORPH=empty	an
ta	ton4	DETpos	PERS.=2|NOMB.=s|GENRE=f|CAS=r	ta
meison	maison	NOMcom	NOMB.=s|GENRE=f|CAS=r	meison
Ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	Ai
une	un	DETndf	NOMB.=s|GENRE=f|CAS=r	une
bataille	bataille	NOMcom	NOMB.=s|GENRE=f|CAS=r	bataille
arramie	aramir	VERppe	NOMB.=s|GENRE=f|CAS=r	arramie
;	;	PONfbl	MORPH=empty	;
Mes	mais1	CONcoo	MORPH=empty	Mes
de	de	PRE	MORPH=empty	de
Lancelot	Lancelot	NOMpro	NOMB.=s|GENRE=m|CAS=r	Lancelot
n'	ne1	ADVneg	MORPH=empty	n
i	i2	PROadv	MORPH=empty	i
voi	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	voi
mie	mie	ADVneg	MORPH=empty	mie
,	,	PONfbl	MORPH=empty	,
Qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	Qui
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r	l
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
enprise	emprendre	VERppe	NOMB.=s|GENRE=f|CAS=r	enprise
ancontre	encontre1	PRE	MORPH=empty	ancontre
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	moi
.	.	PONfrt	MORPH=empty	.
Et	et	CONcoo	MORPH=empty	Et
neporquant	neporcant	ADVgen	DEGRE=-	neporquant
,	,	PONfbl	MORPH=empty	,
si	si	ADVgen	DEGRE=-	si
con	come1	CONsub	MORPH=empty	con
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
doi	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	doi
,	,	PONfbl	MORPH=empty	,
Ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r	Ma
bataille	bataille	NOMcom	NOMB.=s|GENRE=f|CAS=r	bataille
oiant	öir	VERppa	NOMB.=s|GENRE=m|CAS=r	oiant
toz	tot	ADVgen	GENRE=m|CAS=r	toz
presant	presenter	NOMcom	NOMB.=s|GENRE=m|CAS=r	presant
Ces	ce2	PROdem	NOMB.=p|GENRE=m|CAS=r	Ces
que	que2	PROrel	NOMB.=p|GENRE=m|CAS=r	que
ceanz	çaienz	ADVgen	DEGRE=-	ceanz
voi	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	voi
an	en1	PRE	MORPH=empty	an
presant	present2	NOMcom	NOMB.=s|GENRE=m|CAS=r	presant
.	.	PONfrt	MORPH=empty	.
Et	et	CONcoo	MORPH=empty	Et
s'	se	CONsub	MORPH=empty	s
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
ceanz	çaienz	ADVgen	DEGRE=-	ceanz
,	,	PONfbl	MORPH=empty	,
avant	avant	ADVgen	DEGRE=-	avant
veingne	venir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	veingne
Et	et	CONcoo	MORPH=empty	Et
soit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	soit
tex	tel	ADJind	NOMB.=s|GENRE=m|CAS=n	tex
que	que4	CONsub	MORPH=empty	que
covant	covent1	NOMcom	NOMB.=s|GENRE=m|CAS=n	covant
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
teigne	tenir1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	teigne
An	en1	PRE	MORPH=empty	An
vostre	vostre	DETpos	PERS.=2|NOMB.=s|GENRE=f|CAS=r	vostre
cort	cort1	NOMcom	NOMB.=s|GENRE=f|CAS=r	cort
d'	de	PRE	MORPH=empty	d
ui	ui	ADVgen	DEGRE=-	ui
en	en1	PRE	MORPH=empty	en
un	un	DETcar	NOMB.=s|GENRE=m|CAS=r	un
an	an	NOMcom	NOMB.=s|GENRE=m|CAS=r	an
.	.	PONfrt	MORPH=empty	.
Ne	ne1	ADVneg	MORPH=empty	Ne
sai	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	sai
s'	se	CONsub	MORPH=empty	s
onques	onque	ADVgen	DEGRE=-	onques
le	il	PROper	PERS.=3|NOMB.=s|GENRE=n|CAS=r	le
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i	vos
dist	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	dist
l'	il	DETdef	NOMB.=s|GENRE=m|CAS=n	l
an	on	PROind	NOMB.=s|GENRE=n|CAS=n	an
An	en1	PRE	MORPH=empty	An
quel	quel1	DETrel	NOMB.=s|GENRE=f|CAS=r	quel
meniere	maniere	NOMcom	NOMB.=s|GENRE=f|CAS=r	meniere
et	et	CONcoo	MORPH=empty	et
an	en1	PRE	MORPH=empty	an
quel	quel1	DETrel	NOMB.=s|GENRE=f|CAS=r	quel
guise	guise	NOMcom	NOMB.=s|GENRE=f|CAS=r	guise
Ceste	cest	DETdem	NOMB.=s|GENRE=f|CAS=n	Ceste
bataille	bataille	NOMcom	NOMB.=s|GENRE=f|CAS=n	bataille
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
anprise	emprendre	VERppe	NOMB.=s|GENRE=f|CAS=n	anprise
,	,	PONfbl	MORPH=empty	,
Mes	mais1	CONcoo	MORPH=empty	Mes
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
voi	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	voi
chevaliers	chevalier	NOMcom	NOMB.=p|GENRE=m|CAS=r	chevaliers
ceanz	çaienz	ADVgen	DEGRE=-	ceanz
Qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n	Qui
furent	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=p	furent
a	a3	PRE	MORPH=empty	a
noz	nostre	DETpos	PERS.=1|NOMB.=p|GENRE=m|CAS=r	noz
covenanz	covenant	NOMcom	NOMB.=p|GENRE=m|CAS=n	covenanz
,	,	PONfbl	MORPH=empty	,
Et	et	CONcoo	MORPH=empty	Et
bien	bien1	ADVgen	DEGRE=p	bien
dire	dire	VERinf	MORPH=empty	dire
le	il	PROper	PERS.=3|NOMB.=s|GENRE=n|CAS=r	le
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i	vos
savroient	savoir	VERcjg	MODE=con|PERS.=3|NOMB.=p	savroient
Se	se	CONsub	MORPH=empty	Se
voir	voir	ADJqua	CAS=n|DEGRE=-	voir
reconuistre	reconoistre	VERinf	MORPH=empty	reconuistre
an	en2	PROadv	MORPH=empty	an
voloient	voloir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p	voloient
.	.	PONfrt	MORPH=empty	.
Mes	mais1	CONcoo	MORPH=empty	Mes
se	se	CONsub	MORPH=empty	se
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
le	il	PROper	PERS.=3|NOMB.=s|GENRE=n|CAS=r	le
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	me
vialt	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	vialt
noier	noiier2	VERinf	MORPH=empty	noier
,	,	PONfbl	MORPH=empty	,
Ja	ja	ADVgen	DEGRE=-	Ja
n'	ne1	ADVneg	MORPH=empty	n
i	i2	PROadv	MORPH=empty	i
loierai	löer2	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s	loierai
soldoier	soudoiier1	NOMcom	MORPH=empty	soldoier
,	,	PONfbl	MORPH=empty	,
Einz	ainz	ADVgen	DEGRE=-	Einz
le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	le
mosterrai	mostrer	VERcjg	MODE=ind|TEMPS=fut|PERS.=1|NOMB.=s	mosterrai
vers	vers2	PRE	MORPH=empty	vers
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
cors	cors1	NOMcom	NOMB.=s|GENRE=m|CAS=r	cors
.	.	PONfrt	MORPH=empty	.
»	»	PONfbl	MORPH=empty	»
La	le	DETdef	NOMB.=s|GENRE=f|CAS=n	La
reïne	röine1	NOMcom	NOMB.=s|GENRE=f|CAS=r	reïne
,	,	PONfbl	MORPH=empty	,
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n	qui
seoit	sëoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	seoit
lors	lors	ADVgen	DEGRE=-	lors
Delez	dalez	PRE	MORPH=empty	Delez
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
roi	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r	roi
,	,	PONfbl	MORPH=empty	,
a	a3	PRE	MORPH=empty	a
soi	soi1	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	soi
le	il	PROper	NOMB.=s|GENRE=m|CAS=r	le
tire	tirer	VERcjg	MODE=ind|NOMB.=s	tire
Et	et	CONcoo	MORPH=empty	Et
si	si	ADVgen	DEGRE=-	si
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
encomance	encomencier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	encomance
a	a3	PRE	MORPH=empty	a
dire	dire	VERinf	MORPH=empty	dire
:	:	PONfbl	MORPH=empty	:
«	«	PONfbl	MORPH=empty	«
Sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n	Sire
,	,	PONfbl	MORPH=empty	,
savez	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=2|NOMB.=p	savez
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=n	vos
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
cist	cest	PROdem	NOMB.=s|GENRE=m|CAS=n	cist
?	?	PONfrt	MORPH=empty	?
C'	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n	C
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
Meliaganz	Meleagant	NOMpro	NOMB.=s|GENRE=m|CAS=n	Meliaganz
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
prist	prendre	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	prist
El	en1+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r	El
conduit	conduit	NOMcom	NOMB.=s|GENRE=m|CAS=r	conduit
Kex	Keu	NOMpro	NOMB.=s|GENRE=m|CAS=r	Kex
le	le	DETdef	NOMB.=s|GENRE=m|CAS=r	le
seneschal	seneschal	NOMcom	NOMB.=s|GENRE=m|CAS=r	seneschal
,	,	PONfbl	MORPH=empty	,
Assez	assez	ADVgen	DEGRE=-	Assez
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
fist	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fist
et	et	CONcoo	MORPH=empty	et
honte	honte	NOMcom	NOMB.=s|GENRE=f|CAS=r	honte
et	et	CONcoo	MORPH=empty	et
mal	mal1	NOMcom	NOMB.=s|GENRE=m|CAS=r	mal
.	.	PONfrt	MORPH=empty	.
»	»	PONfbl	MORPH=empty	»
Et	et	CONcoo	MORPH=empty	Et
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n	rois
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
respondu	respondre1	VERppe	NOMB.=s|GENRE=m|CAS=r	respondu
:	:	PONfbl	MORPH=empty	:
«	«	PONfbl	MORPH=empty	«
Dame	dame	NOMcom	NOMB.=s|GENRE=f|CAS=n	Dame
,	,	PONfbl	MORPH=empty	,
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
ai	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	ai
bien	bien1	ADVgen	DEGRE=p	bien
antendu	entendre	VERppe	NOMB.=s|GENRE=m|CAS=r	antendu
,	,	PONfbl	MORPH=empty	,
Je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	Je
sai	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	sai
mout	mout	ADVgen	DEGRE=-	mout
bien	bien1	ADVgen	DEGRE=p	bien
que	que4	CONsub	MORPH=empty	que
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n	ce
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n	cil
Qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	Qui
tenoit	tenir1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	tenoit
ma	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=f|CAS=r	ma
gent	gent1	NOMcom	NOMB.=s|GENRE=f|CAS=r	gent
an	en1	PRE	MORPH=empty	an
essil	essil	NOMcom	NOMB.=s|GENRE=m|CAS=r	essil
.	.	PONfrt	MORPH=empty	.
»	»	PONfbl	MORPH=empty	»
La	le	DETdef	NOMB.=s|GENRE=f|CAS=n	La
reïne	röine1	NOMcom	NOMB.=s|GENRE=f|CAS=n	reïne
plus	plus	ADVgen	DEGRE=-	plus
n'	ne1	ADVneg	MORPH=empty	n
an	en2	PROadv	MORPH=empty	an
parole	parler	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	parole
;	;	PONfbl	MORPH=empty	;
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	Li
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n	rois
atorne	atorner	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	atorne
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=r	sa
parole	parole	NOMcom	NOMB.=s|GENRE=f|CAS=r	parole
Vers	vers2	PRE	MORPH=empty	Vers
Meleagant	Meleagant	NOMpro	NOMB.=s|CAS=r	Meleagant
,	,	PONfbl	MORPH=empty	,
si	si	ADVgen	DEGRE=-	si
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	dit
:	:	PONfbl	MORPH=empty	:
«	«	PONfbl	MORPH=empty	«
Amis	ami	NOMcom	NOMB.=s|GENRE=m|CAS=r	Amis
,	,	PONfbl	MORPH=empty	,
fet	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	fet
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
,	,	PONfbl	MORPH=empty	,
se	se	CONsub	MORPH=empty	se
Dex	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n	Dex
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	m
aït	aidier	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	aït
,	,	PONfbl	MORPH=empty	,
De	de	PRE	MORPH=empty	De
Lancelot	Lancelot	NOMpro	NOMB.=s|GENRE=m|CAS=r	Lancelot
nos	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=n	nos
ne	ne1	ADVneg	MORPH=empty	ne
savons	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p	savons
Noveles	novele	NOMcom	NOMB.=p|GENRE=f|CAS=r	Noveles
,	,	PONfbl	MORPH=empty	,
don	dont	PROrel	CAS=r	don
grant	grant	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	grant
duel	duel	NOMcom	NOMB.=s|GENRE=m|CAS=r	duel
avons	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p	avons
.	.	PONfrt	MORPH=empty	.
-	-	PONfbl	MORPH=empty	-
Sire	seignor	NOMcom	NOMB.=s|GENRE=m|CAS=n	Sire
rois	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n	rois
,	,	PONfbl	MORPH=empty	,
fet	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	fet
Meleaganz	Meleagant	NOMpro	NOMB.=s|GENRE=m|CAS=n	Meleaganz
,	,	PONfbl	MORPH=empty	,
Lanceloz	Lancelot	NOMpro	NOMB.=s|GENRE=m|CAS=n	Lanceloz
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	me
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	dist
que	que4	CONsub	MORPH=empty	que
ceanz	çaienz	ADVgen	DEGRE=-	ceanz
Le	il	PROper	PERS.=3|NOMB.=s|GENRE=n|CAS=r	Le
troveroie	trover	VERcjg	MODE=con|PERS.=1|NOMB.=s	troveroie
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
sanz	sans	PRE	MORPH=empty	sanz
faille	faille3	NOMcom	NOMB.=s|GENRE=f|CAS=r	faille
,	,	PONfbl	MORPH=empty	,
Ne	ne2	CONcoo	MORPH=empty	Ne
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
ne	ne1	ADVneg	MORPH=empty	ne
doi	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	doi
ceste	cest	DETdem	NOMB.=s|GENRE=f|CAS=r	ceste
bataille	bataille	NOMcom	NOMB.=s|GENRE=f|CAS=r	bataille
Semondre	semondre	VERinf	MORPH=empty	Semondre
s'	se	CONsub	MORPH=empty	s
an	en1	PRE	MORPH=empty	an
vostre	vostre	DETpos	PERS.=2|NOMB.=s|GENRE=f|CAS=r	vostre
cort	cort1	NOMcom	NOMB.=s|GENRE=f|CAS=r	cort
non	non	ADVneg	MORPH=empty	non
.	.	PONfrt	MORPH=empty	.
Je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	Je
vuel	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	vuel
que	que4	CONsub	MORPH=empty	que
trestuit	trestot	DETind	NOMB.=p|GENRE=m|CAS=n	trestuit
cist	cest	DETdem	NOMB.=p|GENRE=m|CAS=n	cist
baron	baron	NOMcom	NOMB.=p|GENRE=m|CAS=n	baron
Qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n	Qui
ci	ci	ADVgen	DEGRE=-	ci
sont	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	sont
m'	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	m
an	en2	PROadv	MORPH=empty	an
portent	porter	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	portent
tesmoing	tesmoin	NOMcom	NOMB.=s|GENRE=m|CAS=r	tesmoing
Que	que4	CONcoo	MORPH=empty	Que
d'	de	PRE	MORPH=empty	d
ui	ui	ADVgen	DEGRE=-	ui
en	en2	PROadv	MORPH=empty	en
.	.	PONfrt	MORPH=empty	.
i	i2	PROadv	MORPH=empty	i
.	.	PONfrt	MORPH=empty	.
an	en1	PROind	MORPH=empty	an
l'	il	PROper	NOMB.=s|GENRE=m|CAS=r	l
en	en2	PROadv	MORPH=empty	en
semoing	semondre	VERcjg	MODE=ind|TEMPS=pst|NOMB.=s	semoing
Par	par	PRE	MORPH=empty	Par
les	le	DETdef	NOMB.=p|GENRE=m|CAS=r	les
covanz	covent1	NOMcom	NOMB.=p|GENRE=m|CAS=r	covanz
que	que2	PROrel	NOMB.=p|GENRE=m|CAS=r	que
nos	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=n	nos
feïsmes	faire	VERcjg	MODE=ind|TEMPS=psp|PERS.=1|NOMB.=p	feïsmes
La	là	ADVgen	DEGRE=-	La
ou	où	PROrel	MORPH=empty	ou
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
bataille	bataille	NOMcom	NOMB.=s|GENRE=f|CAS=r	bataille
