token	lemma	POS	morph	treated
boune	bon	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	boune
parole	parole	NOMcom	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s|GENRE=f	parole
assenlle	assembler	VERcjg	TEMPS=pst|PERS.=3|NOMB.=s	assenlle
Por	por2	PRE	MORPH=empty	Por
traire	traire	VERinf	MORPH=empty	traire
as	a3+le	PRE.DETdef	NOMB.=p|GENRE=f|CAS=r	as
gens	gent1	NOMcom	NOMB.=p|GENRE=f|CAS=r	gens
en	en1	PRE	MORPH=empty	en
essamplaire	essemplaire2	NOMcom	NOMB.=s|GENRE=m	essamplaire
,	,	PONfbl	MORPH=empty	,
C'	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n	C
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
une	un	DETndf	NOMB.=s|GENRE=f|CAS=n	une
chose	chose	NOMcom	NOMB.=s|GENRE=f|CAS=n	chose
ki	qui	PROrel	NOMB.=s|GENRE=f|CAS=n	ki
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	doit
plaire	plaire	VERinf	MORPH=empty	plaire
A	a3	PRE	MORPH=empty	A
tos	tot	DETind	NOMB.=p|GENRE=m|CAS=r	tos
ciaus	cel	PROdem	NOMB.=p|GENRE=m|CAS=r	ciaus
ki	qui	PROrel	NOMB.=p|GENRE=m|CAS=n	ki
raison	raison	NOMcom	NOMB.=s|GENRE=f|CAS=r	raison
entendent	entendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	entendent
,	,	PONfbl	MORPH=empty	,
Car	car	CONcoo	MORPH=empty	Car
moult	mout	ADVgen	DEGRE=-	moult
voi	vëoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	voi
conteors	conter	NOMcom	NOMB.=p|GENRE=m|CAS=r	conteors
ki	qui	PROrel	NOMB.=p|GENRE=m|CAS=n	ki
tendent	tendre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	tendent
A	a3	PRE	MORPH=empty	A
bien	bien1	ADVgen	NOMB.=s|CAS=r|DEGRE=-	bien
dire	dire	VERinf	MORPH=empty	dire
et	et	CONcoo	MORPH=empty	et
a	a3	PRE	MORPH=empty	a
recorder	recorder	VERinf	MORPH=empty	recorder
Contes	conte1	NOMcom	NOMB.=p|GENRE=m|CAS=r	Contes
ou	o3	CONcoo	MORPH=empty	ou
ne	ne1	ADVneg	MORPH=empty	ne
puis	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	puis
acorder	acorder	VERinf	MORPH=empty	acorder
Mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	Mon
cuer	cuer2	NOMcom	NOMB.=s|GENRE=m|CAS=r	cuer
,	,	PONfbl	MORPH=empty	,
car	car	CONcoo	MORPH=empty	car
raisons	raison	NOMcom	NOMB.=s|GENRE=f|CAS=r	raisons
ne	ne1	ADVneg	MORPH=empty	ne
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
laisse	laissier	VERcjg	MODE=imp|TEMPS=pst|PERS.=3|NOMB.=s	laisse
;	;	PONfbl	MORPH=empty	;
Car	car	CONcoo	MORPH=empty	Car
ki	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	ki
verté	verité	NOMcom	NOMB.=s|GENRE=f|CAS=r	verté
trespasse	trespasser	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	trespasse
et	et	CONcoo	MORPH=empty	et
laisse	laissier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	laisse
Et	et	CONcoo	MORPH=empty	Et
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	fait
venir	venir	VERinf	MORPH=empty	venir
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
conte	conte2	NOMcom	NOMB.=s|GENRE=m|CAS=r	conte
a	avoir	PRE	TEMPS=pst	a
fable	fable	NOMcom	NOMB.=s|GENRE=f|CAS=r	fable
,	,	PONfbl	MORPH=empty	,
Ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n	Ce
ne	ne1	ADVneg	MORPH=empty	ne
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	doit
estre	estre1	VERinf	MORPH=empty	estre
chose	chose	NOMcom	NOMB.=s|GENRE=f|CAS=n	chose
estable	estable1	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p	estable
Ne	ne2	CONcoo	MORPH=empty	Ne
recetee	receter	VERppe	NOMB.=s|GENRE=f|CAS=n	recetee
en	en1	PRE	MORPH=empty	en
nule	nul	DETind	NOMB.=s|GENRE=f|CAS=r	nule
court	cort1	NOMcom	NOMB.=s|GENRE=f|CAS=r	court
;	;	PONfbl	MORPH=empty	;
Car	car	CONcoo	MORPH=empty	Car
puis	puis	ADVgen	DEGRE=-	puis
que	que4	CONsub	MORPH=empty	que
mençoigne	mençogne	NOMcom	PERS.=3|NOMB.=s|CAS=r	mençoigne
trescort	tresquer1	VERcjg	NOMB.=s|CAS=r	trescort
Et	et	CONcoo	MORPH=empty	Et
vertés	verité	NOMcom	NOMB.=p|GENRE=f|CAS=n	vertés
arriere	ariere	ADVgen	DEGRE=-	arriere
remaint	remanoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	remaint
,	,	PONfbl	MORPH=empty	,
Ceste	cest	DETdem	NOMB.=s|GENRE=f|CAS=n	Ceste
chose	chose	NOMcom	NOMB.=s|GENRE=f|CAS=n	chose
sevent	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	sevent
bien	bien1	ADVgen	DEGRE=p	bien
maint	mener	PROind	NOMB.=s|GENRE=m	maint
K'	Charles	CONsub	GENRE=m|CAS=n	K
a	a3	PRE	MORPH=empty	a
cort	cort1	NOMcom	NOMB.=s|GENRE=f|CAS=r	cort
a	a3	PRE	MORPH=empty	a
roi	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r	roi
n'	ne1	ADVneg	MORPH=empty	n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
cort	cort1	NOMcom	NOMB.=s|GENRE=f|CAS=r	cort
a	a3	PRE	MORPH=empty	a
conte	conte2	NOMcom	NOMB.=s|GENRE=m|CAS=r	conte
Ne	ne1	ADVneg	MORPH=empty	Ne
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	doit
conteres	conter	NOMcom	NOMB.=p	conteres
conter	conter	VERinf	MORPH=empty	conter
conte	conte2	NOMcom	NOMB.=s	conte
,	,	PONfbl	MORPH=empty	,
Puis	puis	ADVgen	DEGRE=-	Puis
que	que4	CONsub	MORPH=empty	que
mençoigne	mençogne	NOMcom	NOMB.=s|GENRE=m|CAS=r	mençoigne
passe	passer1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	passe
voir	voir	ADJqua	NOMB.=s|DEGRE=p	voir
;	;	PONfbl	MORPH=empty	;
Et	et	CONcoo	MORPH=empty	Et
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	doit
bien	bien1	ADVgen	DEGRE=p	bien
cascuns	chascun	PROind	NOMB.=s|GENRE=m|CAS=n	cascuns
savoir	savoir	NOMcom	MORPH=empty	savoir
De	de	PRE	MORPH=empty	De
ciaus	cel	PROdem	NOMB.=p|GENRE=m|CAS=r	ciaus
qui	qui	PROrel	NOMB.=p|GENRE=m|CAS=n	qui
entendent	entendre	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=p	entendent
raison	raison	NOMcom	NOMB.=s|GENRE=f|CAS=r	raison
.	.	PONfrt	MORPH=empty	.
Mais	mais1	CONcoo	MORPH=empty	Mais
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
en	en1	PRE	MORPH=empty	en
tans	tens	NOMcom	NOMB.=s|GENRE=m|CAS=r	tans
et	et	CONcoo	MORPH=empty	et
en	en1	PRE	MORPH=empty	en
saison	saison	NOMcom	NOMB.=s|GENRE=f|CAS=r	saison
Puet	pöoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	Puet
metre	metre2	VERinf	MORPH=empty	metre
.	.	PONfrt	MORPH=empty	.
j	je	PROper	PERS.=1|NOMB.=p|CAS=n	j
.	.	PONfrt	MORPH=empty	.
bel	bel1	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	bel
conte	conte1	NOMcom	TEMPS=pst|NOMB.=s|GENRE=m|CAS=r	conte
en	en1	PRE	MORPH=empty	en
memoire	memoire	NOMcom	NOMB.=s|GENRE=f|CAS=r	memoire
Et	et	CONcoo	MORPH=empty	Et
faire	faire	VERinf	MORPH=empty	faire
.	.	PONfrt	MORPH=empty	.
j	je	PROper	PERS.=1|NOMB.=p|CAS=n	j
.	.	PONfrt	MORPH=empty	.
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	dit
de	de	PRE	MORPH=empty	de
boune	bon	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p	boune
estoire	estoire1	NOMcom	NOMB.=s|GENRE=f|CAS=r	estoire
Et	et	CONcoo	MORPH=empty	Et
moult	mout	ADVgen	DEGRE=-	moult
bien	bien1	ADVgen	DEGRE=p	bien
fait	faire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	fait
cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n	cil
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
s'	soi1	PROper	PERS.=3|NOMB.=s|CAS=r	s
en	en2	PROadv	MORPH=empty	en
paine	pener	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	paine
,	,	PONfbl	MORPH=empty	,
Ki	qui	PROrel	NOMB.=s|GENRE=f|CAS=n	Ki
vertés	verité	NOMcom	NOMB.=p|GENRE=f|CAS=n	vertés
soit	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	soit
,	,	PONfbl	MORPH=empty	,
c'	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n	c
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
bele	bel1	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p	bele
paine	peine	NOMcom	NOMB.=s|GENRE=f|CAS=n	paine
.	.	PONfrt	MORPH=empty	.
Ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	Ce
dist	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	dist
cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n	cil
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
set	savoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	set
ke	que4	CONsub	MORPH=empty	ke
ce	ce1	PROdem	NOMB.=s|GENRE=n|CAS=r	ce
monte	monter	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	monte
K'	Charles	CONsub	GENRE=m	K
en	en1	PRE	MORPH=empty	en
poi	pöoir	ADVgen	NOMB.=s	poi
de	de	PRE	MORPH=empty	de
tens	tens	NOMcom	NOMB.=s|GENRE=m|CAS=r	tens
essauce	essaucier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s|GENRE=m	essauce
et	et	CONcoo	MORPH=empty	et
monte	monter	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	monte
Vertés	verité	NOMcom	NOMB.=s|GENRE=f|CAS=r	Vertés
et	et	CONcoo	MORPH=empty	et
met	metre2	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	met
un	un	DETndf	NOMB.=s|GENRE=m|CAS=r	un
home	ome	NOMcom	NOMB.=s|GENRE=m|CAS=r	home
en	en1	PRE	MORPH=empty	en
pris	pris1	NOMcom	NOMB.=s|GENRE=m|CAS=r	pris
;	;	PONfbl	MORPH=empty	;
Dont	dont	PROrel	MORPH=empty	Dont
ne	ne1	ADVneg	MORPH=empty	ne
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	me
tieng	tenir1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	tieng
a	a3	PRE	MORPH=empty	a
entrepris	entreprendre	VERppe	NOMB.=s|GENRE=m|CAS=r	entrepris
.	.	PONfrt	MORPH=empty	.
Nus	nul	PROind	NOMB.=s|GENRE=m|CAS=n	Nus
ne	ne1	ADVneg	MORPH=empty	ne
me	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=i	me
doit	devoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	doit
en	on	PRE	MORPH=empty	en
mal	mal1	NOMcom	NOMB.=s|GENRE=m|CAS=r	mal
retraire	retraire	VERinf	MORPH=empty	retraire
Se	se	CONsub	MORPH=empty	Se
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n	je
voel	voloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	voel
en	en1	PRE	MORPH=empty	en
mon	mon1	DETpos	PERS.=1|NOMB.=s|GENRE=m|CAS=r	mon
tans	tens	NOMcom	NOMB.=s|GENRE=m|CAS=r	tans
retraire	retraire	VERinf	MORPH=empty	retraire
Et	et	CONcoo	MORPH=empty	Et
metre	metre2	VERinf	MORPH=empty	metre
en	en1	PRE	MORPH=empty	en
memoire	memoire	NOMcom	NOMB.=s|GENRE=f|CAS=r	memoire
.	.	PONfrt	MORPH=empty	.
j	je	PROper	PERS.=1|NOMB.=p|CAS=n	j
.	.	PONfrt	MORPH=empty	.
viel	vieil	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	viel
conte	conte1	NOMcom	NOMB.=s|GENRE=m|CAS=r	conte
Dont	dont	PROrel	MORPH=empty	Dont
l'	le	DETdef	NOMB.=s|GENRE=f|CAS=n	l
estoire	estoire1	NOMcom	NOMB.=s|GENRE=m|CAS=n	estoire
nos	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=i	nos
dist	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	dist
et	et	CONcoo	MORPH=empty	et
conte	conter	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	conte
Ke	que4	CONsub	MORPH=empty	Ke
c'	ce1	PROdem	NOMB.=s|GENRE=n|CAS=n	c
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	li
contes	conte1	NOMcom	NOMB.=s|GENRE=m|CAS=n	contes
de	de	PRE	MORPH=empty	de
l'	le	DETdef	NOMB.=s|GENRE=m|CAS=r	l
Escoufle	Escolfes	NOMpro	NOMB.=s|GENRE=m|CAS=r	Escoufle
;	;	PONfbl	MORPH=empty	;
Ne	ne2	CONcoo	MORPH=empty	Ne
desque	desque	PRE	PERS.=3	desque
la	là	ADVgen	DEGRE=-	la
ou	où	PROrel	MORPH=empty	ou
bise	bis	ADJqua	NOMB.=s|GENRE=f|CAS=n|DEGRE=p	bise
souffle	sofler	VERcjg	NOMB.=s|GENRE=f	souffle
Ne	ne1	ADVneg	MORPH=empty	Ne
cuit	cuidier1	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s	cuit
qu'	que4	CONsub	MORPH=empty	qu
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
ait	avoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s	ait
mie	mie	ADVneg	MORPH=empty	mie
.	.	PONfrt	MORPH=empty	.
x	10	PROper	CAS=n	x
.	.	PONfrt	MORPH=empty	.
homes	ome	NOMcom	NOMB.=p|GENRE=m|CAS=r	homes
Ki	qui	PROrel	NOMB.=p|GENRE=m|CAS=n	Ki
sacent	savoir	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=p	sacent
de	de	PRE	MORPH=empty	de
cui	cui	PROrel	NOMB.=s|GENRE=m|CAS=r	cui
nos	nos1	PROper	PERS.=1|NOMB.=p|GENRE=m|CAS=n	nos
disommes	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p	disommes
,	,	PONfbl	MORPH=empty	,
Tant	tant	ADVgen	DEGRE=-	Tant
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	a
esté	estre1	VERppe	NOMB.=s|GENRE=m|CAS=n	esté
lonc	lonc	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	lonc
tans	tens	NOMcom	NOMB.=s|GENRE=m|CAS=r	tans
celés	celer1	PROdem	NOMB.=p|GENRE=m|CAS=n	celés
Li	le	DETdef	NOMB.=s|GENRE=m|CAS=n	Li
contes	conte2	NOMcom	NOMB.=s|GENRE=m|CAS=n	contes
qui	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	qui
est	estre1	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	est
revelés	reveler2	VERppe	NOMB.=s|GENRE=m|CAS=n	revelés
Par	par	PRE	MORPH=empty	Par
moi	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=r	moi
et	et	CONcoo	MORPH=empty	et
mis	metre2	VERppe	NOMB.=s|GENRE=m|CAS=n	mis
en	en1	PRE	MORPH=empty	en
escriture	escriture	NOMcom	NOMB.=s|GENRE=f|CAS=r	escriture
.	.	PONfrt	MORPH=empty	.
Ici	ici	ADVgen	DEGRE=-	Ici
comence	comencier	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s	comence
l'	le	DETdef	NOMB.=s|GENRE=f|CAS=n	l
aventure	aventure	NOMcom	NOMB.=s|GENRE=f|CAS=n	aventure
.	.	PONfrt	MORPH=empty	.
Si	si	ADVgen	DEGRE=-	Si
dist	dire	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	dist
k'	que4	CONsub	NOMB.=s	k
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
ot	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	ot
en	en1	PRE	MORPH=empty	en
Normendie	Normendie	NOMpro	NOMB.=s|GENRE=f|CAS=r	Normendie
Un	un	DETndf	NOMB.=s|GENRE=m|CAS=r	Un
riche	riche	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	riche
home	ome	NOMcom	NOMB.=s|GENRE=m|CAS=r	home
de	de	PRE	MORPH=empty	de
manandie	manandie	NOMpro	NOMB.=s|GENRE=f|CAS=r	manandie
Ki	qui	PROrel	NOMB.=s|GENRE=m|CAS=n	Ki
fu	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	fu
cuens	conte1	NOMcom	NOMB.=s|GENRE=m|CAS=n	cuens
de	de	PRE	MORPH=empty	de
Moustierviler	Mostériier	NOMpro	NOMB.=s|CAS=r	Moustierviler
:	:	PONfbl	MORPH=empty	:
Conte	conte1	NOMcom	NOMB.=s|GENRE=m|CAS=r	Conte
Richart	Richart	NOMpro	NOMB.=s|GENRE=m|CAS=r	Richart
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	l
oï	öir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	oï
noumer	nomer	VERinf	MORPH=empty	noumer
.	.	PONfrt	MORPH=empty	.
Il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	Il
tint	tenir1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s	tint
Rueem	Rouers	NOMpro	NOMB.=s|GENRE=m|CAS=r	Rueem
en	en1	PRE	MORPH=empty	en
son	son4	DETpos	PERS.=3|NOMB.=s|GENRE=m|CAS=r	son
demaine	demaine2	NOMcom	NOMB.=s|GENRE=m|CAS=r	demaine
,	,	PONfbl	MORPH=empty	,
Dont	dont	PROrel	NOMB.=s|GENRE=m|CAS=i	Dont
cascun	chascun	DETind	NOMB.=s|GENRE=m|CAS=r	cascun
jor	jor	NOMcom	NOMB.=s|GENRE=m|CAS=r	jor
en	en1	PRE	MORPH=empty	en
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
semaine	semaine	NOMcom	NOMB.=s|GENRE=f|CAS=r	semaine
Le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	Le
servoient	servir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p	servoient
.	.	PONfrt	MORPH=empty	.
c	100	PROdem	NOMB.=p|CAS=n	c
.	.	PONfrt	MORPH=empty	.
home	ome	NOMcom	NOMB.=s|GENRE=m|CAS=r	home
a	a3	PRE	PERS.=3|NOMB.=s	a
court	cort1	NOMcom	NOMB.=s|GENRE=f|CAS=r	court
;	;	PONfbl	MORPH=empty	;
Et	et	CONcoo	MORPH=empty	Et
Saine	Seine	NOMpro	NOMB.=s|GENRE=f|CAS=r	Saine
qui	qui	PROrel	NOMB.=s|GENRE=f|CAS=n	qui
par	par	PRE	MORPH=empty	par
desous	desoz	ADVgen	MORPH=empty	desous
court	cort1	NOMcom	NOMB.=s|GENRE=f|CAS=r	court
Le	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	Le
servoit	servir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	servoit
adés	adès	ADVgen	DEGRE=-	adés
de	de	PRE	MORPH=empty	de
poissons	poisson	NOMcom	NOMB.=p|GENRE=m|CAS=r	poissons
.	.	PONfrt	MORPH=empty	.
De	de	PRE	MORPH=empty	De
forés	forest	NOMcom	NOMB.=p|GENRE=f|CAS=r	forés
et	et	CONcoo	MORPH=empty	et
de	de	PRE	MORPH=empty	de
venisons	venoison	NOMcom	NOMB.=p|GENRE=f	venisons
Ert	estre1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	Ert
sa	son4	DETpos	PERS.=3|NOMB.=s|GENRE=f|CAS=n	sa
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=n	terre
bien	bien1	ADVgen	DEGRE=p	bien
aaisie	aaisier	VERppe	NOMB.=s|GENRE=f|CAS=n	aaisie
,	,	PONfbl	MORPH=empty	,
Et	et	CONcoo	MORPH=empty	Et
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n	il
l'	il	PROper	PERS.=3|NOMB.=s|GENRE=f|CAS=r	l
avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	avoit
si	si	ADVgen	DEGRE=-	si
abaissie	abaissier	VERppe	NOMB.=s|GENRE=f|CAS=r	abaissie
Ke	que4	CONsub	MORPH=empty	Ke
nus	nul	PROind	NOMB.=s|GENRE=m|CAS=n	nus
ne	ne1	ADVneg	MORPH=empty	ne
li	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=i	li
faisoit	faire	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	faisoit
enchaus	enchauz	ADVgen	NOMB.=s|GENRE=m|CAS=r	enchaus
;	;	PONfbl	MORPH=empty	;
Car	car	CONcoo	MORPH=empty	Car
en	en1	PRE	MORPH=empty	en
la	le	DETdef	NOMB.=s|GENRE=f|CAS=r	la
contree	contree	NOMcom	NOMB.=s|GENRE=f|CAS=r	contree
de	de	PRE	MORPH=empty	de
Chaus	Chaus	NOMpro	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	Chaus
Avoit	avoir	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s	Avoit
bien	bien1	ADVgen	DEGRE=-	bien
.	.	PONfrt	MORPH=empty	.
iii	3	DETcar	NOMB.=p|CAS=r	iii
.	.	PONfrt	MORPH=empty	.
.	.	PONfrt	MORPH=empty	.
c	100	PROdem	NOMB.=p|CAS=n	c
.	.	PONfrt	MORPH=empty	.
chevaliers	chevalier	NOMcom	NOMB.=p|GENRE=m|CAS=n	chevaliers
Hardis	hardi	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	Hardis
et	et	CONcoo	MORPH=empty	et
coragous	corajos	ADJqua	NOMB.=s|GENRE=m|CAS=n|DEGRE=p	coragous
et	et	CONcoo	MORPH=empty	et
fiers	fier	ADJqua	NOMB.=s|GENRE=m|CAS=r|DEGRE=p	fiers
Ki	qui	PROrel	NOMB.=p|GENRE=m|CAS=n	Ki
tuit	tot	PROind	NOMB.=p|GENRE=m|CAS=n	tuit
tenoient	tenir1	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=p	tenoient
de	de	PRE	MORPH=empty	de
lui	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r	lui
terre	terre	NOMcom	NOMB.=s|GENRE=f|CAS=r	terre
;	;	PONfbl	MORPH=empty	;
Et	et	CONcoo	MORPH=empty	Et
quant	cant1	CONsub	MORPH=empty	quant
nus	nul	DETind	NOMB.=s|GENRE=m|CAS=n	nus
